Sociedad,Número de documento,Cancelado,Status de documento,Fecha de contabilización,Fecha de documento,Nº de Factura,Código de cliente/proveedor,Nombre de cliente/proveedor,Linea de Negocio,Número de artículo,Codigo_GET,UM,Dscription,Moneda,TC,Price,OpenSumSys,Monto Pendiente,Cargado A:,Indicador,PO,BaseLine,TargetType,Cantidad Devuelta,Estado Devolución,U_EXM_CARGADOA2,FreeTxt,Fecha ETA Marco,N° Reclamo,Modalidad Final,Modalidad Original,Pais Origen Final,Promedio Tiempo Total,Dias adicionales,Restante,ETA Marco,ETA Marco Maximo,Rango ETA,Cat ETA,% Avance
MP,256261254,N,C,2025-12-04,2025-10-13,3616087.0,PE0000000005,INDUSTRIAL GLOBAL SALES,MANGUERA Y CONEXION,A18110003389,GH195-32,MT,"MANGUERA HIDRAULICA SAE100R2 ALTA TEMP. DIAM. INT.2"" 105BAR/1525PSI",USD,3.391,70.7041,452.54,21.54952380952380952380952380952381,ST,91,256805614,1,20,0.0,Sin Devolución,,,,,MARITIMO,MARITIMO,US,39.5,22.5,0.3048,2026-08-10 12:00:00,2026-09-02 00:00:00,[2026-08-10 12:00:00-2026-09-02 00:00:00],Cat B,0.012658227848101266
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20030000005,99912,UN,LINER ; LOWER POCKET   #99912,EUR,4.183,80,1928.76,1928.76,ST,DI,256807985,1,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,20.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20030000007,99914,UN,LINER; UPPER POCKET,EUR,4.183,59,640.11,640.11,ST,DI,256807985,4,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,9.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20030000008,99916,UN,OUTER CAP,EUR,4.183,58,839.01,839.01,ST,DI,256807985,3,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,12.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20030000011,99920,UN,FEED RING,EUR,4.183,265,958.35,958.35,ST,DI,256807985,5,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,3.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20030000012,389245,UN,LINER; TOP ROTOR,EUR,4.183,99,3580.26,3580.26,ST,DI,256807985,0,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,30.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20030000023,341946,UN,FEED DISK;28 ROTOR,EUR,4.183,162,1562.3,1562.3,ST,DI,256807985,2,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,8.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265128653,N,O,2026-06-18,2026-06-16,3864099.0,PE0000000005,INDUSTRIAL GLOBAL SALES,HIDRAULI. COMPONENTE,A18110000602,02-200854,PZ,VALVE CARTRIDGE N.O. 24VDC  SBV11-10-0-0-24DGH,USD,3.387,51.02,7755.04,7755.04,ST,DI,256808043,1,-1,0.0,Sin Devolución,,,2026-06-30,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,152.0,2026-06-30 00:00:00,2026-06-30 00:00:00,[2026-06-30 00:00:00-2026-06-30 00:00:00],Fecha Comex,1.105263157894737
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20090000184,1149797,UN,MUELA #  TELSMITH,EUR,4.183,4480,48604.77,48604.77,ST,DI,256808518,0,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,9.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A23120000252,0304205145E,UN,JAW STATIONARY FA REG CURVE/0304205145E,EUR,4.183,2640,3182.46,3182.46,OV,DI,256809310,0,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,1.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265131862,N,O,2026-07-02,2026-05-07,1208.0,PE0000000014,WALVOIL S.P.A,HIDRAULI. COMPONENTE,A18110001039,D12 LEFT W001A*,PZ,"WORK SECTION D12 D/N 31138, TND",EUR,4.234,172.41,2524.44,2524.44,ST,91,256809796,0,-1,0.0,Sin Devolución,,,2026-07-02,,MARITIMO,MARITIMO,IT,52.5,30.0,12.0,2026-07-02 00:00:00,2026-07-02 00:00:00,[2026-07-02 00:00:00-2026-07-02 00:00:00],Fecha Comex,1.0
