Unidad de Negocios	Linea de Negocio	Sublineas
OTROS	OTROS	ACCESORIOS DE LIMPIE
OTROS	OTROS	ACTIVOS FIJOS
OTROS	OTROS	HERRAMIENTAS
OTROS	OTROS	SERVICIOS HERRAMIENT
OTROS	OTROS	UNIFORMES Y EQ. SEGU
OTROS	OTROS	UTILES DE OFICINA
OTROS	OTROS	SUMINISTRO COMPUTO
HIDRAULICA Y TRANSMISION DE POTENCIA	AIRE COMPRIMIDO	AIRE COMPRIMIDO
HIDRAULICA Y TRANSMISION DE POTENCIA	FILTRACION	FILTRACION
HIDRAULICA Y TRANSMISION DE POTENCIA	FILTRACION	SERVICIOS FILTRACION
HIDRAULICA Y TRANSMISION DE POTENCIA	HERRAMIENTA HIDRAULI	HERRAMIENTA HIDRAULI
HIDRAULICA Y TRANSMISION DE POTENCIA	HERRAMIENTA HIDRAULI	SERVICIOS HERR HIDRA
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA MOVIL	HIDRAULICA MOVIL
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA MOVIL	SERVICIOS HIDR. MOVI
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA NAVAL	HIDRAULICA NAVAL
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA NAVAL	SERVICIOS HIDRA NAV
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA NAVAL	PRODUCCION
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA NAVAL	SERVICIOS PRODUCCION
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA TERRESTRE	HIDRAULICA TERRESTRE
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA TERRESTRE	SERVICIOS HIDRA TERR
HIDRAULICA Y TRANSMISION DE POTENCIA	TRANSM. DE POTENCIA	TRANSM. DE POTENCIA
HIDRAULICA Y TRANSMISION DE POTENCIA	TRANSM. DE POTENCIA	SERVICIOS TRANSM POT
HIDRAULICA Y TRANSMISION DE POTENCIA	TECHNIDRILL	TECHNIDRILL
HIDRAULICA Y TRANSMISION DE POTENCIA	SELLADOS Y FLUIDOS	SELLADOS Y FLUIDOS
LUBRICACION Y MANGUERAS	LUBRICACION MINERIA	LUBRICACION MINERIA
LUBRICACION Y MANGUERAS	LUBRICACION MINERIA	LUBRICACION ESPECIAL
LUBRICACION Y MANGUERAS	LUBRICACION MINERIA	SERVICIOS LUBR MINE
LUBRICACION Y MANGUERAS	LUBRICACION INDUSTRI	LUBRICACION INDUSTRI
LUBRICACION Y MANGUERAS	LUBRICACION INDUSTRI	SERVICIOS LUBR INDUS
LUBRICACION Y MANGUERAS	MANGUERA Y CONEXION	MANGUERA Y CONEXION
LUBRICACION Y MANGUERAS	MANGUERA Y CONEXION	SERVICIOS MANGUERAS
LUBRICACION Y MANGUERAS	MONITOREO CONDICION	MONITOREO CONDICION
LUBRICACION Y MANGUERAS	MONITOREO CONDICION	SERVICIOS MONIT COND
LUBRICACION Y MANGUERAS	SIST DE LUBRICACION	SIST DE LUBRICACION
LUBRICACION Y MANGUERAS	SIST DE LUBRICACION	SERVICIOS SIST LUBRI
ELECTRONICA	ELECTRONICA NAVAL	ELECTRONICA NAVAL
ELECTRONICA	ELECTRONICA NAVAL	SERVICIOS ELECT. NAV
INCUBADORAS	SISTEMA EXT INCENDIO	SISTEMA EXT INCENDIO
INCUBADORAS	SISTEMA EXT INCENDIO	SERVICIOS SIST E INC
INCUBADORAS	ASTEC	ASTEC
INCUBADORAS	FIORI	FIORI
INCUBADORAS	RECSOL	RECSOL
FRIO	FRIO	FRIO
FRIO	FRIO	SERVICIOS FRIO
FRIO	FRIO	SALDO
LUBRICACION Y MANGUERAS	LUBRI PLANTA MINERIA	LUBRI PLANTA MINERIA
LUBRICACION Y MANGUERAS	SERV LUB PLANTA MINE	LUBRI PLANTA MINERIA
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA SERVICIOS	SERVICIO HIDRA SERVI
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULI. COMPONENTE	HIDRAULI. COMPONENTE
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA PROYECTOS	HIDRAULICA PROYECTOS
INCUBADORAS	SERVICIOS ASTEC	SERVICIOS ASTEC
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA PROYECTOS	SERVICIO HIDRA PROYE
HIDRAULICA Y TRANSMISION DE POTENCIA	HIDRAULICA SERVICIOS	HIDRAULICA SERVICIOS
