Código de ubicación	Ub Fisica	ZonaG	AnaquelG	Columna	Nivel	Número de artículo	Codigo GET	EMPRESA	AlmacenG	Codigo Barra	Descripción del artículo	Nombre de grupo	Unidad de medida de inventario	Ferreteria	Cantidad en almacén	CUUSD	CU SOL
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000111	11-8001	MP	395		STEEL SCREW SLEEVE FOR HOSE STUD	SIST DE LUBRICACION	UNIDAD		20	1.126814988290398126463700234192037	3.8492
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000112	11-8051	MP	395		STEEL HOSE STUD STRAIGHT	SIST DE LUBRICACION	UNIDAD		20	1.373770491803278688524590163934426	4.6928
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000113	11-8071	MP	395		STEEL 90Â° HOSE STUD	SIST DE LUBRICACION	UNIDAD		20	2.206147540983606557377049180327869	7.5362
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000115	11-6106	MP	395		STEEL STRAIGHT SREW COUPLING M6X1	SIST DE LUBRICACION	UNIDAD		10	1.094174473067915690866510538641686	3.7377
395-PATIO-DESPACHO	PATIO-DESPACHO		PATIO-DESPACHO			A23110000116	11-6215	MP	395		STEEL 90Â° ELBOW SCREW FITTING R 1/8 BSP TAP	SIST DE LUBRICACION	UNIDAD		10	2.95073185011709601873536299765808	10.0797
101-CONSUMIBLES	CONSUMIBLES	CONSUMIBLES				A18110011135	1.1/4 A-36	MP	101	ZAB0268	BARRA CUADRADA 1.1/4 ACERO A-36	HIDRAULICA PROYECTOS	METRO		5.7	11.7552985948477751756440281030445	40.1561
101-CONSUMIBLES	CONSUMIBLES	CONSUMIBLES				A18130005254	1 BARRA CUADR	MP	101	ZAB0230	BARRA CUADRADA 1	HIDRAULICA PROYECTOS	METRO		3.5	6.890661592505854800936768149882904	23.5385
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18110009362	TRAPO	MP	100	ZAT0114	TRAPO INDUSTRIAL	HERRAMIENTAS	KILO	FERRE	51.2	1.241920374707259953161592505854801	4.2424
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008278	E070621001	MP	100	E070621001	CINTA DE EMBALAJE TRANSPARENTE 3M	UTILES DE OFICINA	UNIDAD		66	2.051200234192037470725995316159251	7.0069
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008282	E070720001	MP	100	E070720001	STRECH FILM 18 COLOR TRANSPARENTE SHURTAPE	HERRAMIENTAS	UNIDAD		73	4.372658079625292740046838407494145	14.937
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008283	E070720002	MP	100	E070720002	STRECH FILM 20 COLOR NEGRO SHURTAPE	HERRAMIENTAS	UNIDAD		52	8.547511709601873536299765807962529	29.1983
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008284	E070720003	MP	100	E070720003	STRECH FILM 12” TRANSPARENTE SHURTAPE	HERRAMIENTAS	UNIDAD		46	3.617622950819672131147540983606557	12.3578
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008285	E070720004	MP	100	E070720004	STRECH FILM 6 TRANSPARENTE SHURTAPE	HERRAMIENTAS	UNIDAD		49	2.160070257611241217798594847775176	7.3788
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008286	E070720005	MP	100	E070720005	STRECH FILM 3 TRANSPARENTE SHURTAPE	HERRAMIENTAS	UNIDAD		36	1.558840749414519906323185011709602	5.325
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008288	E070720007	MP	100	E070720007	STRECH FILM 10  COLOR NEGRO SHURTAPE	HERRAMIENTAS	UNIDAD		50	5.532786885245901639344262295081967	18.9
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A18130008298	E080606002	MP	100	E080606002	CINTA EMBALAJE GRUESO-HABANO - PEGAFAN	UTILES DE OFICINA	UNIDAD		7	2.179303278688524590163934426229508	7.4445
100-HERRAMIENTAS	HERRAMIENTAS	HERRAMIENTAS				A21110000003	TRAPO	SP	100	TRAPO	TRAPO INDUSTRIAL	ELECTRONICA NAVAL	KILO	FERRE	2	1.960655737704918032786885245901639	6.6976
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A18110007629	NITROGENO	SUF	100	KT05544	NITROGENO	FRIO	METRO CÚBICO		40	4.070696721311475409836065573770492	13.9055
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A18110009405	ACETILENO	MP	100	ZA01810	ACETILENO	HIDRAULICA PROYECTOS	KILO		7	10.49180327868852459016393442622951	35.84
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A18110011082	STARGOL / AGAMIX-20	MP	100	ZA01875	GAS STARGOL / AGAMIX-20	HIDRAULI. COMPONENTE	METRO CÚBICO		10	7.235362997658079625292740046838407	24.716
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A18130006873	"""5/8""""TUBO D CO"""	SUF	100	ZP00048	"""TUBO DE COBRE 5/8"""""""	FRIO	METRO		54.13	4.23290398126463700234192037470726	14.4596
100-JAULA-GAS	JAULA-GAS	JAULA	GAS			A26050000009	ARGON	MP	100		ARGON 5.0	PRODUCCION	METRO CÚBICO		10	13.26112412177985948477751756440281	45.3
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A18130007149	7910514	MP	100	ZAC0011	HYPERION UNIVERSAL TRACTOR (J20C)	LUBRICACION INDUSTRI	BALDE		7	66.78337236533957845433255269320843	228.132
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A18130007154	7910814	MP	100	ZAC0017	HYPERION 6000 HYDRAULIC AW 46	LUBRICACION INDUSTRI	BALDE		6	47.91080210772833723653395784543326	163.6633
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A23020000115	1052756	MP	100		"DRIVE RING SEAL,.50"""	EQUIPOS TRANS. MATER	UNIDAD		2	108.7309718969555035128805620608899	371.425
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A26040000097	BONN DILU D820 NF	MP	100		BONN DILU D820 NF ENVASE 3.785 L	HIDRAULICA PROYECTOS	GALÓN		5	11.67037470725995316159250585480094	39.866
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A26040000116	BONN ZIMET 86	MP	100		BONN ZIMET 86 Lata X 3.785 L - GRIS	HIDRAULICA PROYECTOS	GALÓN		3	56.11923302107728337236533957845433	191.7033
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	A26040000117	RAL 1023 - 850	MP	100		BONN MASTIC 850 - Lata X 3.785 L	HIDRAULICA PROYECTOS	GALÓN		4	23.76756440281030444964871194379391	81.19
100-JAULA-PINTURA-A	JAULA-PINTURA-A	JAULA	PINTURA		A	MP1904000001	37225	MP	100		ROLLER W-1060/ W-1095 / W1000 SERIES	HIDRAULICA PROYECTOS	PIEZA		2	187.536592505854800936768149882904	640.625
100-JAULA-PINTURA-B	JAULA-PINTURA-B	JAULA	PINTURA		B	A18130007463	9638	MP	100	9638	HYDRAULIC OIL 2-1/2 GALLON CONT.	HERRAMIENTA HIDRAULI	UNIDAD		74	50.84827283372365339578454332552693	173.6977
100-JAULA-PINTURA-B	JAULA-PINTURA-B	JAULA	PINTURA		B	A18130007465	9646	MP	100	9646	ACEITE HIDRAULICO (ENVASE DE 2.5 GL)	HERRAMIENTA HIDRAULI	UNIDAD		14	133.5318793911007025761124121779859	456.1449
100-JAULA-PINTURA-B	JAULA-PINTURA-B	JAULA	PINTURA		B	A23040000111	VAC1	MP	100	1U-5718	BOMBA MANUAL PARA TRASEGAR ACEITE	MONITOREO CONDICION	PIEZA		28	25.92617096018735362997658079625293	88.5638
100-JAULA-PINTURA-C	JAULA-PINTURA-C	JAULA	PINTURA		C	A23040000110	TUBIN 1/4	MP	100		MANGUERA DE MUESTREO - TUBIN DE PVC COLOR BLANCO 1/4 X METROS	MONITOREO CONDICION	PIEZA		199	7.212529274004683840749414519906323	24.638
