"Codigo_SAP"	"Codigo_GET"	"Codigo_Barra"	"Categoria"	"Ferreteria"	"Marca"	"Descripcion"	"UM"	"Rotacion"	"Antiguedad"	"Costo S/."	"Costo_K_USD"	"Costo_M_USD"	"Precio de lista"	"Último precio de compra"	"Última moneda de compra"	"Última fecha de compra"	"Stock Total"	"Comprometido"	"En OV"	"En OF"	"En Transito"	"Linea de Negocio"	"ID_Rotacion"	"ID_Antiguedad"	"ID_Aprobacion_Planeamiento"	"IMPORTACIONES"	"CALLAO"	"CALLAO - PRODUCCION"	"CALLAO - RESEMIN"	"CALLAO - LA CHALACA"	"CALLAO - DEFECTUOSOS"	"CALLAO - RESERVADOS"	"CALLAO - EXHIBICION"	"LIMA - RANSA"	"LIMA - RANSA DEFECTUOSOS"	"TRANSITO"	"PIURA - KMMP"	"LAS BAMBAS"	"LIMA - BLENDING"	"PIURA - AG CHIRA"	"CHIMBOTE - CD"	"AREQUIPA - CD"	"ILO - CD"	"ILO - SOUTHERN"	"TRUJILLO - CD"	"TRUJILLO - LINEA"	"ANTAPACCAY"	"RESEMIN"	"COSAPI"	"ENTREGA EPPS"	"SETTING"	"CALLAO - SIN ROTACIÓN"	"TALLER"	"DROPSHIP"	"CALLAO - RECLAMOS"	"ELECTRÓNICA"	"FILTRACIÓN"	"FRIO"	"HERRAMIENTAS HIDRAÚLICAS"	"HIDRAÚLICA NAVAL"	"HIDRAÚLICA TERRESTRE"	"LUBRICACIÓN ESPECIAL"	"LUBRICACIÓN INDUSTRIAL"	"POSADA"	"PRE-DESPACHO"	"RECSOL"	"QUEMA"	"SISTEMA DE LUBRICACIÓN"	"LIMA - RANSA REPARACIONES"	"LIMA - RANSA RECLAMOS"	"TRANSMISIÓN DE POTENCIA"	"RELSA"	"LABORATORIO LUBRICACIÓN MINERÍA"	"LIMA - RANSA RESERVADOS"	"ILO - RESERVADOS"	"CALLAO-CONTROL"	"APM - CALLAO"	"PCGE"	"ILO-QUELLAVECO"	"UNICON JICAMARCA"	"PRE-INGRESO"	"UNICON YERBABUENA"	"AREQUIPA - RESERVA"	"AREQUIPA - EXHIBICIÓN"	"ATLAS HYDRAULICS"	"CHINALCO"	"PRE-INGRESO (LOCAL)"	"NUEVOS ALMACENES NO REGISTRADOS"
"A18110000090"	"C38121-620"	"IR00310"	"Accesorios"	""	"INGERSOLL"	"FR+L DE CONEXION 1/4 METAL PROTEC., MANUAL DRAIN"	"PZ"	"0"	"0"	"277.05"	"86.65"	"0"	"163.49"	"277.05"	"SOL"	"2018-12-31"	"0"	"0"	"0"	"0"	"0"	"HIDRAULI. COMPONENTE"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A18110000104"	"6303-2Z-L038"	"BR00651"	"Repuestos"	""	"FAG"	"RODAJE"	"PZ"	"0"	"0"	"11.175"	"2.97"	"0"	"3.3"	"11.175"	"SOL"	"2021-04-01"	"0"	"0"	"0"	"0"	"0"	"HIDRAULI. COMPONENTE"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A18110000107"	"FD90-1012-04-04"	"-"	"Acople"	""	"EATON"	"ACOPLE RAPIDO DIAGNOSTICO MACHO CUERPO 1/4"" A MACHO NPT 1/4"" 483BAR/7000PSI"	"PZ"	"3"	"0"	"19.5713"	"5.6991"	"5.7"	"15.7"	"4.170988"	"USD"	"2026-06-23"	"69"	"0"	"0"	"0"	"0"	"MANGUERA Y CONEXION"	"3"	"0"	"N"	"0"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"14"	"0"	"0"
"A18110000108"	"5657-10"	"FF07070"	"Acople"	""	"EATON-AEROQUIP"	"TAPA DE GOMA GUARDAPOLVO PARA ACOPLE RAPIDO HID. 5600 MACHO 5/8"""	"PZ"	"2"	"2"	"7.9877"	"2.1282"	"2.11"	"5.47"	"2.1368"	"USD"	"2023-08-07"	"140"	"0"	"0"	"0"	"0"	"MANGUERA Y CONEXION"	"2"	"2"	"N"	"0"	"95"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"
"A18110000109"	"5659-10"	"FF07072"	"Acople"	""	"EATON-AEROQUIP"	"TAPA DE GOMA GUARDAPOLVO PARA ACOPLE RAPIDO HID. 5600 HEMBRA 5/8"""	"PZ"	"2"	"0"	"8.2669"	"2.1737"	"2.14"	"5.64"	"8.2565"	"SOL"	"2025-12-30"	"117"	"0"	"0"	"0"	"0"	"MANGUERA Y CONEXION"	"2"	"0"	"N"	"0"	"117"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A18110000112"	"4S12FL12"	"FF03009"	"Conexion"	""	"EATON-AEROQUIP"	"CONEXION 4S RECTA BRIDA COD61 3/4"" A MANGUERA 3/4"""	"PZ"	"2"	"0"	"54.2"	"14.395"	"14.32"	"34.72"	"1.68"	"USD"	"2026-04-13"	"14"	"0"	"0"	"0"	"0"	"MANGUERA Y CONEXION"	"2"	"0"	"N"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A18110000114"	"1922-B"	"MA01790"	"Repuestos"	""	"ALEMITE"	"LUBE FITTING 1/8 NPT X 45º MONEL"	"PZ"	"0"	"0"	"1.95"	"0.5"	"0"	"0.94"	"0.5"	"USD"	"2023-01-26"	"0"	"0"	"0"	"0"	"0"	"HIDRAULI. COMPONENTE"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A18110000119"	"DH-141*********"	"AT00210"	"Accesorios"	""	"ATOS"	"VALVULA DIRECCIONAL ATOS 4/3 ACC. MECANICO"	"PZ"	"0"	"0"	"964.4"	"263.86"	"264.14"	"497.85"	"263.7034"	"USD"	"2019-02-15"	"0"	"0"	"0"	"0"	"0"	"HIDRAULI. COMPONENTE"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A18110000121"	"HR-012*********"	"ZB04092"	"Accesorios"	""	"ATOS"	"CHECK VALVE CETOP 3 ATOS"	"PZ"	"0"	"0"	"192.56"	"70.64"	"0"	"133.28"	"192.56"	"SOL"	"2018-12-31"	"0"	"0"	"0"	"0"	"0"	"HIDRAULI. COMPONENTE"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"A18110000123"	"DH-0151********"	"AT00215"	"Accesorios"	""	"ATOS"	"VALVULA DIRECCIONAL ATOS 4/2 ACC. MECANICO"	"PZ"	"0"	"0"	"1319.95"	"350.29"	"0"	"660.92"	"348.18"	"USD"	"2022-03-03"	"0"	"0"	"0"	"0"	"0"	"HIDRAULI. COMPONENTE"	"0"	"0"	"Y"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
