Sociedad,Tipo de Compra,PO,ItemCode,Line PO,TrnspName,Codigo de cliente/proveedor,Tipo Producto,Max_FechPO,Max_FechIN,Avg_Q_PO,Sum_Q_EM,Diferencia en meses,Outlier
SP,Local,255600299,250600001,20,TERRE,P20545235057,ND,2025-06-24,2025-07-21,4.0,4.0,0.9,NO
MP,Local,234725348,A18110000107,0,TERRE,P20100708991,Acople,2023-08-02,2023-08-08,10.0,10.0,0.2,NO
MP,Local,265705267,A18110000107,9,TERRE,P20511843783,Acople,2026-06-10,2026-06-12,15.0,15.0,0.1,NO
MP,Local,234727545,A18110000107,0,TERRE,P20492035867,Acople,2023-10-20,2023-10-25,5.0,5.0,0.2,SI
MP,Local,256806829,A18110000107,4,TERRE,P20543978281,Acople,2025-08-18,2025-08-20,10.0,10.0,0.1,NO
MP,Local,265701874,A18110000107,3,TERRE,P20511843783,Acople,2026-03-05,2026-03-10,15.0,15.0,0.2,NO
MP,Local,256809326,A18110000107,1,TERRE,P20543978281,Acople,2025-10-31,2025-11-04,15.0,15.0,0.1,NO
MP,Importación,223706536,A18110000107,23,MARITIMO,PE0000000005,Acople,2022-10-18,2023-02-21,17.0,17.0,4.2,NO
MP,Local,234728396,A18110000107,0,TERRE,P20492035867,Acople,2023-11-21,2023-11-24,5.0,5.0,0.1,NO
MP,Local,265701434,A18110000107,3,TERRE,P20511843783,Acople,2026-02-19,2026-02-24,10.0,10.0,0.2,NO
MP,Local,246803275,A18110000107,2,TERRE,P20100708991,Acople,2024-05-08,2024-05-09,5.0,5.0,0.0,NO
MP,Local,246804744,A18110000107,15,TERRE,P20612085511,Acople,2024-07-04,2024-07-10,5.0,5.0,0.2,NO
MP,Local,234727933,A18110000107,3,TERRE,P20100708991,Acople,2023-11-06,2023-11-07,5.0,5.0,0.0,NO
MP,Local,234723331,A18110000107,0,TERRE,P20492035867,Acople,2023-05-23,2023-05-25,20.0,20.0,0.1,NO
MP,Local,265703271,A18110000107,11,TERRE,P20511843783,Acople,2026-04-13,2026-04-15,10.0,10.0,0.1,NO
MP,Local,265702781,A18110000107,10,TERRE,P20511843783,Acople,2026-03-30,2026-04-01,15.0,15.0,0.1,NO
MP,Importación,265703740,A18110000107,13,MARITIMO,PE0000000005,Acople,2026-04-26,2026-06-24,30.0,30.0,2.0,NO
MP,Local,256810828,A18110000107,1,TERRE,P20511843783,Acople,2025-12-16,2025-12-18,15.0,15.0,0.1,NO
