Código de almacén	Nombre de almacén	TIPO
099	IMPORTACIONES	TRANSITO
100	CALLAO	CD PRINCIPAL
101	CALLAO - PRODUCCION	CD PRINCIPAL
102	CALLAO - RESEMIN	CD PRINCIPAL
103	CALLAO - LA CHALACA	CD PRINCIPAL
104	CALLAO - DEFECTUOSOS	CD PRINCIPAL
105	CALLAO - RESERVADOS	CD PRINCIPAL
106	CALLAO - EXHIBICION	CD PRINCIPAL
107	CALLAO - SIN ROTACIÓN	CD PRINCIPAL
108	CALLAO - RECLAMOS	CD PRINCIPAL
109	CALLAO-CONTROL	CD PRINCIPAL
110	LIMA - RANSA	CD TERCERO
111	LIMA - RANSA DEFECTUOSOS	CD TERCERO
112	LIMA - RANSA REPARACIONES	CD TERCERO
113	LIMA - RANSA RECLAMOS	CD TERCERO
114	LIMA - RANSA RESERVADOS	CD TERCERO
120	LIMA - BLENDING	CD TERCERO
130	RELSA	CD TERCERO
199	TRANSITO	TRANSITO
200	PIURA - KMMP	CONSIGNACION
201	PIURA - AG CHIRA	CONSIGNACION
210	CHIMBOTE - CD	CD SUCURSAL
212	CHIMBOTE RESERVADOS	CD SUCURSAL
220	AREQUIPA - CD	CD SUCURSAL
230	ILO - CD	CD SUCURSAL
231	ILO - SOUTHERN	CONSIGNACION
232	ILO - RESERVADOS	CD SUCURSAL
233	ILO- QUELLAVECO	CONSIGNACION
240	TRUJILLO - CD	CD SUCURSAL
241	TRUJILLO - LINEA	CD SUCURSAL
242	LABORATORIO LUBRICACIÓN MINERÍA	CD SUCURSAL
299	SETTING	TRANSITO
300	LAS BAMBAS	CONSIGNACION
310	ANTAPACCAY	CONSIGNACION
320	RESEMIN	CONSIGNACION
330	COSAPI	CONSIGNACION
340	ENTREGA EPPS	TRANSITO
385	TRANSMISIÓN DE POTENCIA	LINEA
386	ELECTRÓNICA	LINEA
387	FILTRACIÓN	LINEA
388	FRIO	LINEA
389	HERRAMIENTAS HIDRAÚLICAS	LINEA
390	HIDRAÚLICA NAVAL	LINEA
391	HIDRAÚLICA TERRESTRE	LINEA
392	LUBRICACIÓN ESPECIAL	LINEA
393	LUBRICACIÓN INDUSTRIAL	LINEA
394	POSADA	CONSIGNACION
395	PRE-DESPACHO	CD PRINCIPAL
396	RECSOL	LINEA
397	QUEMA	QUEMA
398	SISTEMA DE LUBRICACIÓN	LINEA
399	TALLER	LINEA
400	PRE-INGRESO	CD PRINCIPAL
800	UNICON JICAMARCA	CONSIGNACION
801	UNICON YERBABUENA	CONSIGNACION
999	PCGE	LINEA
APM-01	APM - CALLAO	CONSIGNACION
350	ATLAS HYDRAULICS	CONSIGNACION
