Sociedad,ItemCode,Fecha Local,Precio Unit Local,Moneda Local,Proveedor Local,Fecha Internacional,Precio Unit Internacional,Moneda Internacional,Proveedor Internacional
SP,250600001,2025-06-24 00:00:00,44.0678,SOL,FABRICACIONES SANTA INES S.A.C. - FABSI S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000104,2019-06-13 00:00:00,12.7119,SOL,RUBIO MORENO JUAN ARISTOTELES,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000107,2026-06-10 00:00:00,5.08,USD,COMERCIAL CISGE S.A.C.,2026-06-23 00:00:00,4.03,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000108,2022-08-15 00:00:00,2,USD,SOLUCIONES HIDRAULICAS Y MINERAS E.I.R.L.  SOHIMIN E.I.R.L.,2023-07-06 00:00:00,2.0185,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000109,2022-08-15 00:00:00,2,USD,SOLUCIONES HIDRAULICAS Y MINERAS E.I.R.L.  SOHIMIN E.I.R.L.,2023-07-22 00:00:00,2.0185,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000112,2026-04-14 00:00:00,1.68,USD,DIVESA SERVICE S.A.,2025-02-28 00:00:00,15.1375,USD,INDUSTRIAL GLOBAL SALES
MP,A18110000114,2023-01-24 00:00:00,0.5,USD,EMCO INDUSTRIA EIRL,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000121,2020-12-30 00:00:00,77.7,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000128,2024-09-23 00:00:00,1290,SOL,BRAMMERTZ INGENIEROS S.A.,No existe registros,No existe registros,No existe registros,No existe registros
SP,A18110000130,2020-09-30 00:00:00,1210.5,USD,HYDRAULIC SUPPLY COMPANY S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000138,2022-04-11 00:00:00,146.245,USD,GRAMSA DISTRIBUIDORA S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000157,2025-05-02 00:00:00,88,USD,PROJECT AUTOMATION PERU S.A.C.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000166,2026-02-10 00:00:00,35,USD,COMPAÑIA IMPORTADORA DE REPUESTOS SOCIEDAD ANONIMA CERRADA,2024-06-12 00:00:00,166.73,EUR,DANA SAC SOUTH AMÉRICA INDÚSTRIA E COMÉRCIO DE TRANSMISSÕES LTDA.
SP,A18110000174,2020-09-07 00:00:00,53.0399,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000180,2019-07-30 00:00:00,1.199,USD,TECNIFAJAS S.A.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000188,2026-04-09 00:00:00,16,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000194,2026-04-09 00:00:00,36,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000211,2026-05-18 00:00:00,14.66,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000241,2026-04-09 00:00:00,8.34,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000244,2026-05-07 00:00:00,2.2,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000246,2026-04-09 00:00:00,14.18,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000250,2024-05-08 00:00:00,24,USD,OHS INDUSTRIALES E.I.R.L.,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000259,2021-09-13 00:00:00,581.4,USD,JORLE INDUSTRIAL S.A.C.,2024-09-02 00:00:00,423.08,EUR,NORD FLUID S.P.A.
MP,A18110000265,2021-10-06 00:00:00,1061.27,SOL,SOLUCIONES PESQUERAS S.A.C.,2026-05-26 00:00:00,308.76,USD,INDUSTRIAL GLOBAL SALES
SP,A18110000265,2020-10-29 00:00:00,204.9,USD,MARCO PERUANA S A,No existe registros,No existe registros,No existe registros,No existe registros
MP,A18110000270,2021-10-06 00:00:00,1556.26,SOL,SOLUCIONES PESQUERAS S.A.C.,2026-02-27 00:00:00,447.72,USD,INDUSTRIAL GLOBAL SALES
