Codigo cuenta contable|Nombre de grupo|Número de operación|Clase de operación|Tipo|Status|Clave de documento creada|Referencia base|Comentarios|Número de artículo|Descripción del artículo|Cargado a|Codigo GET|Moneda del precio|Precio de la moneda|Precio|Valor de transacción|Fecha de contabilización|CreateDate|Cantidad de entrada|Cantidad de salida|Código de almacén|DocLineNum|Firma del usuario|Comentarios.1|Codigo de deudor/acreedor|Nombre de deudor/acreedor|Ingreso bruto línea|GrssProfit Devol|Código de cliente|ItemPrincipalOF|ItemPrincipalOFReciboProd|AcctCode|AcctName|CódigoClienteOV_OF|Nombre_Cliente
|EQUIPOS TRANS. MATER|576708|15|Entrega|N|40907|222600001|Entregas - C20192779333|A21040000105|"BOLT (2K8) HEX HD 1.1/8""X3.1/2"""||02-000019413|USD|3.998|35.0|-5396.98|2022-01-03|2022-01-03|0.0|32.0|220|1|338|FACTURACION PRODUCTOS Basado en Ofertas de ventas OC_4530012956. Basado en Pedidos de cliente OC_4530012956.|C20192779333|COMPANIA MINERA ARES S.A.C.|-919.22|||||||C20192779333|COMPANIA MINERA ARES S.A.C.
|EQUIPOS TRANS. MATER|576707|15|Entrega|N|40907|222600001|Entregas - C20192779333|A21040000106|SPRING STRAND||00-000057143|USD|3.998|41.0|-402.19|2022-01-03|2022-01-03|0.0|2.0|220|0|338|FACTURACION PRODUCTOS Basado en Ofertas de ventas OC_4530012956. Basado en Pedidos de cliente OC_4530012956.|C20192779333|COMPANIA MINERA ARES S.A.C.|-74.35|||||||C20192779333|COMPANIA MINERA ARES S.A.C.
|EQUIPOS TRANS. MATER|576700|15|Entrega|N|40906|222600000|Entregas - C20192779333|A21050000078|VEE-PULLEY 4C SECTION AK0032B270B||007-0034695|USD|3.998|3176.0|-12485.63|2022-01-03|2022-01-03|0.0|1.0|220|0|338|FACTURACION PRODUCTOS Basado en Ofertas de ventas OC_4550013047. Basado en Pedidos de cliente OC_4550013047.|C20192779333|COMPANIA MINERA ARES S.A.C.|212.02|||||||C20192779333|COMPANIA MINERA ARES S.A.C.
|EQUIPOS TRANS. MATER|577449|67|Transferencia por Inventario|N|36894|229600028|Traslados -|A20030000049|MANTLE NUT CAP||450053|USD|3.995|199.27|489.96|2022-01-04|2022-01-04|1.0|0.0|100|0|552|IMP8380-21 // AEREO|||||||||||
|EQUIPOS TRANS. MATER|577670|20|Entrada por Compra|N|22326|223600024|Pedido de entrada de mercancías - PE0000000166|A20100000166|"6""WEDGE ASSEMBLY KIT 42XX HSI"|OV|354142|SOL|0.0|447.3594|10736.63|2022-01-04|2022-01-04|24.0|0.0|099|0|552|ATENCION OC 511573 UNICON Basado en Fact.proveedores 4152.|PE0000000166|ASTEC INDUSTRIES LATAM SPA||||||||PE0000000166|ASTEC INDUSTRIES LATAM SPA
|EQUIPOS TRANS. MATER|577230|20|Entrada por Compra|N|22296|223600004|Pedido de entrada de mercancías - PE0000000166|A21110000140|CARBIDE TIP VSI1500|OV|154680|SOL|0.0|3025.6557|9076.97|2022-01-04|2022-01-04|3.0|0.0|099|0|552|REEMPLAZO DE PO 2138006970 Basado en Fact.proveedores 4184.|PE0000000166|ASTEC INDUSTRIES LATAM SPA||||||||PE0000000166|ASTEC INDUSTRIES LATAM SPA
|EQUIPOS TRANS. MATER|577671|20|Entrada por Compra|N|22326|223600024|Pedido de entrada de mercancías - PE0000000166|A20110000233|PL AR 1.25 X 11.88 X 11.88|OV|309332|SOL|0.0|561.0819|1683.25|2022-01-04|2022-01-04|3.0|0.0|099|1|552|ATENCION OC 511573 UNICON Basado en Fact.proveedores 4152.|PE0000000166|ASTEC INDUSTRIES LATAM SPA||||||||PE0000000166|ASTEC INDUSTRIES LATAM SPA
|EQUIPOS TRANS. MATER|577672|20|Entrada por Compra|N|22326|223600024|Pedido de entrada de mercancías - PE0000000166|A20090000262|SECONDARY APRON TIP|OV|L-03845|SOL|0.0|1516.9709|4550.91|2022-01-04|2022-01-04|3.0|0.0|099|2|552|ATENCION OC 511573 UNICON Basado en Fact.proveedores 4152.|PE0000000166|ASTEC INDUSTRIES LATAM SPA||||||||PE0000000166|ASTEC INDUSTRIES LATAM SPA
|EQUIPOS TRANS. MATER|577673|20|Entrada por Compra|N|22327|223600025|Pedido de entrada de mercancías - PE0000000166|A20110000233|PL AR 1.25 X 11.88 X 11.88|OV|309332|SOL|0.0|561.0416|2244.17|2022-01-04|2022-01-04|4.0|0.0|099|0|552|Basado en Fact.proveedores 4149.|PE0000000166|ASTEC INDUSTRIES LATAM SPA||||||||PE0000000166|ASTEC INDUSTRIES LATAM SPA
|EQUIPOS TRANS. MATER|577679|20|Entrada por Compra|N|22329|223600027|Pedido de entrada de mercancías - PE0000000166|A21100000055|Retaining Rod, Blow bar 4240 HSI|OV|335492|SOL|0.0|1322.1044|3966.31|2022-01-04|2022-01-04|3.0|0.0|099|0|552|Quote Number: 4671 Basado en Fact.proveedores 4153.|PE0000000166|ASTEC INDUSTRIES LATAM SPA||||||||PE0000000166|ASTEC INDUSTRIES LATAM SPA
