Sociedad,Linea Negocio,Orden de Compra,Pais de Origen,Fecha Orden,Sol. Compra,Fecha Solicitud,Codigo Proveedor,Tipo de Compra,Proveedor,CANCELED,U_EXM_CARGADOA,N° Documento,Nombre de cliente,Estado,Número de artículo,LineNum,Part Number,Dscription,Tipo Producto,Fecha Necesaria,UM,Modalidad,Solicitado,Pendiente,Moneda,Precio,Total Moneda,Total Soles,Total dolares,LineId,Max Liena,U_HAK_IMPORT,U_HAK_FEPFAB,1° Reprogramacion,2° Reprogramacion,3° Reprogramacion,4° Reprogramacion,5° Reprogramacion,6° Reprogramacion,7° Reprogramacion,Total,Ultima Fecha,Fecha P Consolidador,Fecha R Consolidador,Cantidad Embarcada,Fecha ETD,Fecha ETA Callao,Fecha ETA Marco,Embarque,Procedencia,REGULARIZACIÓN,CentroCosto,U_EXM_CARGADOA2,FreeTxt,Modalidad Original,Promedio Tiempo Total,Dias adicionales,Th_Art_Prov_Local,Var_Art_Prov_Local,Varm_Art_Prov_Local,Th_Fam_Prov_Local,Var_Fam_Prov_Local,Varm_Fam_Prov_Local,Th_Prov_Local,Var_Prov_Local,Varm_Prov_Local,Th_Fam_Local,Var_Fam_Local,Varm_Fam_Local,Th_Art_Prov_Pa_Imp,Var_Art_Prov_Pa_Imp,Varm_Art_Prov_Pa_Imp,Th_Fam_Prov_Pa_Imp,Var_Fam_Prov_Pa_Imp,Varm_Fam_Prov_Pa_Imp,Th_Prov_Pa_Imp,Var_Prov_Pa_Imp,Varm_Prov_Pa_Imp,Th_Fam_Pa_Imp,Var_Fam_Pa_Imp,Varm_Fam_Pa_Imp,Facturacion Aproximada,ETA Marco,ETA Marco Moderado,ETA Marco Maximo,Rango,Cat ETA
MP,FRIO,256802368,PE,2025-03-25,259302250.0,2025-03-24,P20338570041,Local,LINDE PERU S.R.L.,,OF,257700220.0,VULCO PERU S.A.,Cerrado,A18110007629,0,NITROGENO,NITROGENO,Repuestos,2025-03-26,METRO CÚBICO,AEREO,40,10,SOL,12.1,484,484,0,1.0,1,,,,,,,,,,0,,,,40,,,,,, ,9132,,,AEREO,0,0.0,25,56,28,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-27,2026-08-24 00:00:00,2026-09-21 00:00:00,[2026-07-27 00:00:00-2026-09-21 00:00:00],Cat N
MP,HIDRAULI. COMPONENTE,256801537,PE,2025-02-26,259301429.0,2025-02-25,P20338570041,Local,LINDE PERU S.R.L.,,OF,257700267.0,BANCO DE CREDITO DEL PERU,Cerrado,A18110011082,1,STARGOL / AGAMIX-20,GAS STARGOL / AGAMIX-20,Accesorios,2025-03-03,METRO CÚBICO,LOCAL,20,10,SOL,22,440,440,0,1.0,1,,,,,,,,,,0,,,,20,,,,,, ,9132,,,LOCAL,0,0.0,6,11,6,6,11,6,7,21,11,18,89,45,0,0,0,0,0,0,0,0,0,60,18,9,,2026-07-08,2026-07-14 00:00:00,2026-07-19 00:00:00,[2026-07-08 00:00:00-2026-07-19 00:00:00],Cat N
MP,HIDRAULI. COMPONENTE,256808179,PE,2025-09-29,259307505.0,2025-09-29,P20338570041,Local,LINDE PERU S.R.L.,,OF,257701203.0,MINERA CHINALCO PERÚ S.A.,Cerrado,A18110011082,2,STARGOL / AGAMIX-20,GAS STARGOL / AGAMIX-20,Accesorios,2025-10-03,METRO CÚBICO,LOCAL,60,20,SOL,22,1320,1320,0,1.0,1,,,,,,,,,,0,,,,60,,,,,, ,9132,,,LOCAL,0,0.0,6,11,6,6,11,6,7,21,11,18,89,45,0,0,0,0,0,0,0,0,0,60,18,9,,2026-07-08,2026-07-14 00:00:00,2026-07-19 00:00:00,[2026-07-08 00:00:00-2026-07-19 00:00:00],Cat N
MP,HIDRAULICA PROYECTOS,256808179,PE,2025-09-29,259307505.0,2025-09-29,P20338570041,Local,LINDE PERU S.R.L.,,OF,257701203.0,MINERA CHINALCO PERÚ S.A.,Cerrado,A18110009405,1,ACETILENO,ACETILENO,Repuestos,2025-10-03,KILO,LOCAL,35,14,SOL,31.9,1116.5,1116.5,0,1.0,1,,,,,,,,,,0,,,,35,,,,,, ,9132,,,LOCAL,0,0.0,4,4,2,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-08 00:00:00,2026-07-10 00:00:00,[2026-07-06 00:00:00-2026-07-10 00:00:00],Cat N
MP,HIDRAULICA PROYECTOS,256809550,PE,2025-11-07,259308767.0,2025-11-06,P20338570041,Local,LINDE PERU S.R.L.,,OF,257701203.0,MINERA CHINALCO PERÚ S.A.,Cerrado,A18110009492,0,OXIGENO,OXIGENO,Repuestos,2025-11-10,METRO CÚBICO,LOCAL,60,20,SOL,10.67,640.2,640.2,0,1.0,1,,,,,,,,,,0,,,,60,,,,,, ,9132,,,LOCAL,0,0.0,4,5,3,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-09 00:00:00,2026-07-11 00:00:00,[2026-07-06 00:00:00-2026-07-11 00:00:00],Cat N
MP,HIDRAULICA PROYECTOS,256809550,PE,2025-11-07,259308767.0,2025-11-06,P20338570041,Local,LINDE PERU S.R.L.,,OF,257701203.0,MINERA CHINALCO PERÚ S.A.,Cerrado,A18110009405,2,ACETILENO,ACETILENO,Repuestos,2025-11-10,KILO,LOCAL,28,1,SOL,31.9,893.2,893.2,0,1.0,1,,,,,,,,,,0,,,,28,,,,,, ,9132,,,LOCAL,0,0.0,4,4,2,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-08 00:00:00,2026-07-10 00:00:00,[2026-07-06 00:00:00-2026-07-10 00:00:00],Cat N
MP,HIDRAULI. COMPONENTE,256809829,PE,2025-11-18,259309025.0,2025-11-17,P20338570041,Local,LINDE PERU S.R.L.,,OF,257701203.0,MINERA CHINALCO PERÚ S.A.,Cerrado,A18110011082,1,STARGOL / AGAMIX-20,GAS STARGOL / AGAMIX-20,Accesorios,2025-11-19,METRO CÚBICO,LOCAL,30,20,SOL,22,660,660,0,1.0,1,,,,,,,,,,0,,,,30,,,,,, ,9132,,,LOCAL,0,0.0,6,11,6,6,11,6,7,21,11,18,89,45,0,0,0,0,0,0,0,0,0,60,18,9,,2026-07-08,2026-07-14 00:00:00,2026-07-19 00:00:00,[2026-07-08 00:00:00-2026-07-19 00:00:00],Cat N
MP,HIDRAULICA PROYECTOS,256809829,PE,2025-11-18,259309025.0,2025-11-17,P20338570041,Local,LINDE PERU S.R.L.,,OF,257701203.0,MINERA CHINALCO PERÚ S.A.,Cerrado,A18110009492,0,OXIGENO,OXIGENO,Repuestos,2025-11-19,METRO CÚBICO,LOCAL,60,10,SOL,10.67,640.2,640.2,0,1.0,1,,,,,,,,,,0,,,,60,,,,,, ,9132,,,LOCAL,0,0.0,4,5,3,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-09 00:00:00,2026-07-11 00:00:00,[2026-07-06 00:00:00-2026-07-11 00:00:00],Cat N
MP,HIDRAULICA PROYECTOS,256810367,PE,2025-12-02,259309495.0,2025-12-01,P20338570041,Local,LINDE PERU S.R.L.,,OF,257701203.0,MINERA CHINALCO PERÚ S.A.,Cerrado,A18110009492,0,OXIGENO,OXIGENO,Repuestos,2025-12-03,METRO CÚBICO,LOCAL,40,10,SOL,10.67,426.8,426.8,0,1.0,1,,,,,,,,,,0,,,,40,,,,,, ,9132,,,LOCAL,0,0.0,4,5,3,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-09 00:00:00,2026-07-11 00:00:00,[2026-07-06 00:00:00-2026-07-11 00:00:00],Cat N
MP,FRIO,256804121,PE,2025-05-19,259303821.0,2025-05-16,P20338570041,Local,LINDE PERU S.R.L.,,OF,257700495.0,SOCIEDAD MINERA CERRO VERDE S.A.A.,Cerrado,A18110007629,0,NITROGENO,NITROGENO,Repuestos,2025-05-22,METRO CÚBICO,LOCAL,40,20,SOL,12.1,484,484,0,1.0,1,,,,,,,,,,0,,,,40,,,,,, ,9132,,,LOCAL,0,0.0,25,56,28,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-27,2026-08-24 00:00:00,2026-09-21 00:00:00,[2026-07-27 00:00:00-2026-09-21 00:00:00],Cat N
